Regulation,Year,Agency,Cost
"Airworthiness Directives: Lycoming Engines and Teledyne Motors","2011","Transportation","391.0k"
"Airworthiness Directives; Airbus Airplanes","2015","Transportation","2.2m"
"Airworthiness Directives; General Electric Company","2016","Transportation","302.0k"
"Lease and Interchange of Vehicles; Motor Carriers of Passengers; Extension of Compliance Date","2018","Transportation","-14.6m"
"Airworthiness Directives; Airbus Airplanes","2014","Transportation","2.2m"
"Emergency Relief Program","2013","Transportation","0.0"
"Airworthiness Directives; Airbus Helicopters","2021","Transportation","107.0k"
"Public Transportation Safety Certification Training Program","2024","Transportation","2.4m"
"Airworthiness Directives; Boeing Model 747 and 767 Airplanes","2007","Transportation","1.6m"
"Airworthiness Directives; Boeing Model 737-100","2006","Transportation","23.7m"
"Airworthiness Directives; Dornier Model 328-300 Airplanes","2009","Transportation","554.0k"
"Procedures for Transportation Workplace Drug and Alcohol Testing Programs","2010","Transportation","2.3m"
"Airworthiness Directives; (EMBRAER) EMB-135ER, -135KE, -135KL","2011","Transportation","113.0k"
"Airworthiness Directives; Airbus Helicopters","2015","Transportation","1.2m"
"Pipeline Safety: Expanding the Use of Excess Flow Valves","2016","Transportation","10.6m"
"System Safety Program","2018","Transportation","-246.0k"
"Airworthiness Directives; Dassault Aviation Airplanes","2014","Transportation","1.2m"
"Airworthiness Directives; General Electric Company Turbofan Engines","2013","Transportation","7.6m"
"Pilot Records Database","2021","Transportation","67.0m"
"Airworthiness Directives; Boeing Model 707 Airplanes and Model 720 and 720B Series","2007","Transportation","5.2m"
"Airworthiness Directives; Boeing Model 727 Airplanes","2006","Transportation","6.0m"
"Airworthiness Directives; Cessna Aircraft Company","2009","Transportation","127.0k"
"Airworthiness Directives; McDonnell Douglas Model DC-9-10","2005","Transportation","150.0k"
"Airworthiness Directives; Engine Components Inc. (ECi) Reciprocating Engine","2005","Transportation","9.2m"
"Airworthiness Directives; Boeing Model 737-600","2008","Transportation","6.0m"
"Airworthiness Directives; Turbomeca S.A. Turboshaft Engines","2012","Transportation","2.9m"
"Airworthiness Directives; 328 Support Services GmbH","2011","Transportation","601.0k"
"Airworthiness Directives; Airbus Helicopters","2015","Transportation","719.0k"
"Airworthiness Directives; Dassault Aviation Airplanes","2016","Transportation","1.4m"
"Airworthiness Directives; Saab AB, Saab Aeronautics (Formerly Known as Saab AB, Saab Aerosystems) Airplanes","2018","Transportation","157.0k"
"Airworthiness Directives; Pratt & Whitney Canada Corp. Turboprop Engines","2013","Transportation","878.0k"
"Airworthiness Directives; Piper Aircraft, Inc. Airplanes","2021","Transportation","7.1m"
"Airworthiness Directives; Airbus Model A300-600 Series Airplanes; and Model A310","2007","Transportation","7.5m"
"Airworthiness Directives; Boeing Model 757 Airplanes","2006","Transportation","530.0k"
"Airworthiness Directives; Bombardier Model","2009","Transportation","984.0k"
"Airworthiness Directives; Boeing Model 777-200","2005","Transportation","2.0m"
"Airworthiness Directives; BURKHARDT GROB LUFT-UND RAUMFA HRT GmbH","2005","Transportation","120.9k"
"Airworthiness Directives; The Boeing Company Model","2010","Transportation","8.8m"
"Airworthiness Directives; Bombardier, Inc. Airplanes","2012","Transportation","2.2m"
"Airworthiness Directives; The Boeing Company Airplanes","2012","Transportation","210.0k"
"Airworthiness Directives; Agusta S.p.A. AB139 and AW139","2011","Transportation","9.4m"
"Airworthiness Directives; Bell Helicopter Textron","2015","Transportation","7.6m"
"Airworthiness Directives; The Boeing Company Airplanes","2016","Transportation","622.0k"
"Airworthiness Directives; Bombardier, Inc., Airplanes","2018","Transportation","192.0k"
"Airworthiness Directives; Rolls-Royce plc Turbofan Engines","2013","Transportation","1.6m"
"Airworthiness Directives; CFM International, S.A. Turbofan Engines","2021","Transportation","1.7m"
"Airworthiness Directives; Airbus SAS Airplanes","2024","Transportation","4.1m"
"Airworthiness Directives; Bombardier Model DHC-8-102, -103, -106, -201, -202, -301","2007","Transportation","340.0k"
"Airworthiness Directives; Boeing Model 757-200 and -300 Series Airplanes","2006","Transportation","3.3m"
"Airworthiness Directives; Boeing Model 737-300","2009","Transportation","394.0k"
"Airworthiness Directives; Airbus Model A330-223","2010","Transportation","708.0k"
"Airworthiness Directives; 328 Support Services GmbH","2012","Transportation","880.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2012","Transportation","360.0k"
"Airworthiness Directives; Agusta S.p.A. Model AB139 and AW139","2011","Transportation","704.0k"
"Airworthiness Directives; Bombardier, Inc. Airplanes","2015","Transportation","235.0k"
"Airworthiness Directives; Honeywell International Inc. Turboprop Engines","2016","Transportation","525.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2018","Transportation","154.0k"
"Airworthiness Directives; Airbus Airplanes","2014","Transportation","2.1m"
"Airworthiness Directives; Rolls-Royce plc Turbofan Engines","2013","Transportation","1.8m"
"Airworthiness Directives; Airbus SAS Airplanes","2021","Transportation","4.3m"
"Airworthiness Directives; Bell Helicopter Textron Canada Model 206A and 206B","2007","Transportation","240.0k"
"Airworthiness Directives; McDonnell Douglas Model Airplanes","2006","Transportation","13.0m"
"Airworthiness Directives: Leonardo S.p.a. Helicopters","2022","Transportation","128.5k"
"Airworthiness Directives; Bell Helicopter Textron","2009","Transportation","278.0k"
"Airworthiness Directives; Rolls-Royce (1971) Limited","2005","Transportation","14.0m"
"Service Difficulty Reports","2005","Transportation","-39.0m"
"Airworthiness Directives; McDonnell Douglas Corporation Model MD-90-30","2010","Transportation","404.0k"
"Airworthiness Directives; Short Brothers Model SD3-60 Airplanes","2008","Transportation","118.8k"
"Airworthiness Directives; The Boeing Company Airplanes","2012","Transportation","400.0k"
"Airworthiness Directives; Various Restricted Category Helicopters","2012","Transportation","140.0k"
"Airworthiness Directives; Air Tractor, Inc. Models AT-802","2011","Transportation","208.0k"
"Airworthiness Directives; Bombardier, Inc. Airplanes","2015","Transportation","3.1m"
"Asset Management Plans","2016","Transportation","54.3m"
"Airworthiness Directives; Airbus Helicopters Deutschland GmbH Helicopters (Type Certificate Previously Held by Eurocopter Deutschland GmbH)","2018","Transportation","1.3m"
"Airworthiness Directives; The Boeing Company Airplanes","2014","Transportation","196.0k"
"Airworthiness Directives; Rolls-Royce plc Turbofan Engines","2013","Transportation","11.8m"
"Airworthiness Directives; Bell Textron Canada Limited (Type Certificate Previously Held by Bell Helicopter Textron Canada Limited) Helicopters","2021","Transportation","647.0k"
"Airworthiness Directives; British Aerospace Regional Aircraft Model HP.137 Jetstream","2007","Transportation","2.1m"
"Airworthiness Directives Sicma Aero Seat, Cabin Attendant Seats","2006","Transportation","100.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2022","Transportation","2.3m"
"Airworthiness Directives; Agusta S.p.A. ","2009","Transportation","224.0k"
"Airworthiness Directives; Rolls-Royce plc RB211-524C2","2010","Transportation","258.5k"
"Airworthiness Directives; Rolls Royce plc RB211-524 Series Turbofan Engines","2008","Transportation","1.1m"
"Airworthiness Directives; The Boeing Company Airplanes","2012","Transportation","340.0k"
"Airworthiness Directives; Airbus A300 B4-600 and A300 B4-600R","2011","Transportation","4.4m"
"Airworthiness Directives; Bombardier, Inc. Airplanes","2015","Transportation","1.9m"
"Airworthiness Directives; Airbus Helicopters Deutschland GmbH Helicopters","2016","Transportation","139.0k"
"Use of Automatic Dependent Surveillance-Broadcast (ADS-B) Out in Support of Reduced Vertical Separation Minimum (RVSM) Operations","2018","Transportation","-34.0m"
"Airworthiness Directives; Airbus Airplanes","2013","Transportation","3.2m"
"Airworthiness Directives; General Electric Company Turbofan Engines","2021","Transportation","137.0k"
"Airworthiness Directives; McDonnell Douglas Model DC-8-53, DC-8-55, DC-8F-54","2007","Transportation","190.0k"
"Airworthiness Directives; Brantly International, Inc. Helicopters","2006","Transportation","1.3m"
"Airworthiness Directives; Boeing Model 747-100","2009","Transportation","576.0k"
"Airworthiness Directives; Turbomeca Artouste III Series Turboshaft Engines","2005","Transportation","596.8k"
"Airworthiness Directives; Pratt & Whitney (PW) Turbofan Engines","2008","Transportation","2.3m"
"Fatigue Tolerance Evaluation of Metallic Structures","2012","Transportation","0.0"
"Airworthiness Directives; Airbus A300 B4-600, A300 B4-600R","2011","Transportation","271.0k"
"Airworthiness Directives; Bombardier, Inc. Airplanes","2015","Transportation","401.0k"
"Airworthiness Directives; Pratt & Whitney Division Turbofan Engines","2016","Transportation","1.4m"
"Airworthiness Directives; The Boeing Company Airplanes","2018","Transportation","506.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2013","Transportation","4.3m"
"Airworthiness Directives; ATR-GIE Avions de Transport Régional Airplanes","2021","Transportation","140.0k"
"Use of Supplemental Restraint Systems","2024","Transportation","34.9m"
"Airworthiness Directives; Boeing Model 757-200, -200PF, and -200CB Series","2007","Transportation","6.6m"
"Airworthiness Directives; Pilatus Aircrft Ltd. Models PC-12","2006","Transportation","400.0k"
"Airworthiness Directives; Bombardier Model CL-600","2009","Transportation","319.0k"
"Airworthiness Directives; Airbus Model A300 B2","2005","Transportation","123.0k"
"Airworthiness Directives; Pratt & Whitney","2010","Transportation","8.6m"
"Airworthiness Directives; Robinson Helicopter Company","2008","Transportation","755.0k"
"Special Awareness Training for Washington, DC Metropolitan Area","2008","Transportation","2.8m"
"Airworthiness Directives; Airbus Model A300 B2-1C, A300","2011","Transportation","1.6m"
"Training, Qualification, and Oversight for Safety-Related Railroad Employees","2020","Transportation","-3.0m"
"Airworthiness Directives; Bombardier, Inc. Airplanes","2015","Transportation","936.0k"
"Airworthiness Directives; Turbomeca S.A. Turboshaft Engines","2016","Transportation","295.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2018","Transportation","388.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2014","Transportation","13.8m"
"Airworthiness Directives; The Boeing Company Airplanes","2013","Transportation","1.1m"
"Airworthiness Directives; True Flight Holdings LLC Airplanes","2021","Transportation","283.0k"
"Airworthiness Directives; MHI RJ Aviation ULC (Type Certificate Previously Held by Bombardier, Inc.) Airplanes","2024","Transportation","103.0k"
"Federal Motor Vehicle Safety Standards; Occupant Crash Protection","2024","Transportation","536.0k"
"Airworthiness Directives; Bell Helicopter Textron Canada Limited Model 206A, 206B","2007","Transportation","590.0k"
"Airworthiness Directives; Boeing Model Series Airplanes","2006","Transportation","4.2m"
"Airworthiness Directives; Airbus Model A310","2009","Transportation","276.0k"
"Airworthiness Directives; Hartzell Propeller Inc.","2005","Transportation","4.2m"
"Airworthiness Directives; Empresa Brasileira de Aeronautica S.A. (EMBRAER) ","2005","Transportation","8.1m"
"Airworthiness Directives; Bombardier","2010","Transportation","60.0k"
"Airworthiness Directives; Pratt & Whitney","2010","Transportation","1.8m"
"Airworthiness Directives; Airbus Model A300 B4-600","2011","Transportation","722.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2020","Transportation","102.0k"
"Airworthiness Directives; Cessna Aircraft Company Airplanes","2015","Transportation","712.0k"
"Reporting of Data for Mishandled Baggage","2016","Transportation","2.5m"
"Airworthiness Directives; The Boeing Company Airplanes","2018","Transportation","98.0k"
"Airworthiness Directives; General Electric Company Turbofan Engines","2013","Transportation","181.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2021","Transportation","639.0k"
"Airworthiness Directives; Bell Helicopter Textron, Inc. Model 204B, 205A, 205A-1","2007","Transportation","160.0k"
"Airworthiness Directives; Bombardier Model Airplanes","2006","Transportation","1.2m"
"Airworthiness Directives; Empresa Brasileira","2009","Transportation","158.0k"
"Airworthiness Directives; Rolls-Royce Deutschland (Formerly Rolls-Royce plc)","2005","Transportation","3.6m"
"Airworthiness Directives; Rolls-Royce plc","2010","Transportation","155.0k"
"Airworthiness Directives; Boeing Model 747-100, 747-100B, 747-100B SUD","2008","Transportation","1.6m"
"Airworthiness Directives; Pratt & Whitney Division Turbofan Engines","2012","Transportation","8.2m"
"Airworthiness Directives; Airbus Model A300 B4-600, B4-600R","2011","Transportation","164.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2020","Transportation","1.1m"
"Airworthiness Directives; CFM International S.A. Turbofan Engines","2015","Transportation","248.0k"
"Enhancing Airline Passenger Protections III","2016","Transportation","7.7m"
"Airworthiness Directives; CFM International S.A. Turbofan Engines","2018","Transportation","632.0k"
"Disadvantaged Business Enterprise: Program Implementation Modifications","2014","Transportation","0.0"
"Airworthiness Directives; The Boeing Company Airplanes","2013","Transportation","2.2m"
"Airworthiness Directives; Airbus Helicopters (Type Certificate Previously Held by Eurocopter France) Helicopters","2021","Transportation","434.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2024","Transportation","48.0m"
"Airworthiness Directives; Bell Helicopter Textron Canada Model 206A and 206B","2007","Transportation","2.8m"
"Airworthiness Directives; Boeing Model 767 Airplanes","2006","Transportation","350.0k"
"Airworthiness Directives; Boeing Model","2009","Transportation","6.5m"
"Airworthiness Directives; Boeing Model 767-400ER","2005","Transportation","2.6m"
"Airworthiness Directives; The Boeing Company Model 777-200 ","2010","Transportation","140.0k"
"Airworthiness Directives; Rolls-Royce","2010","Transportation","120.0k"
"Airworthiness Directives; Airbus Model A300 B4-600, B4-600R","2011","Transportation","108.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2020","Transportation","145.0k"
"Airworthiness Directives; Dassault Aviation Airplanes","2015","Transportation","576.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2016","Transportation","972.0k"
"Airworthiness Directives; Airbus Helicopters (Previously Eurocopter France) Helicopters","2018","Transportation","235.0k"
"Airworthiness Directives; Airbus Airplanes","2013","Transportation","2.9m"
"Airworthiness Directives; Airbus Canada Limited Partnership (Type Certificate Previously Held by C Series Aircraft Limited Partnership (CSALP); Bombardier, Inc.) Airplanes","2021","Transportation","446.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2024","Transportation","204.0k"
"Airworthiness Directives; Boeing Model 767 Airplanes","2007","Transportation","1.9m"
"Airworthiness Directives; Eurocopter France Model Helicopters","2006","Transportation","370.0k"
"Airworthiness Directives: Bell Textron Inc., Erickson 214 Holdings, LLC, Leonardo S.p.a., and Various Restricted Category Helicopters","2022","Transportation","126.5k"
"Airworthiness Directives; Boeing Model 727-100","2009","Transportation","327.0k"
"Airworthiness Directives; Airbus Model A318","2005","Transportation","210.0k"
"Airworthiness Directives; Rolls-Royce Deutschland","2008","Transportation","9.4m"
"Airworthiness Directives; Airbus Airplanes","2012","Transportation","5.9m"
"Airworthiness Directives; Airbus Model A300 B4-601","2011","Transportation","373.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2020","Transportation","132.0k"
"Airworthiness Directives; GE Aviation Czech s.r.o. Turboprop Engines","2015","Transportation","494.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2016","Transportation","1.8m"
"Airworthiness Directives; The Boeing Company Airplanes","2013","Transportation","10.1m"
"Airworthiness Directives; The Boeing Company Airplanes","2021","Transportation","213.0k"
"Airworthiness Directives; WACO Classic Aircraft Corporation Airplanes","2024","Transportation","384.0k"
"Airworthiness Directives; Rolls-Royce Corporation AE 3007A and AE 3007C Series","2007","Transportation","6.1m"
"Airworthiness Directives; Airbus Model and Variant Series Airplanes","2006","Transportation","190.0k"
"Airworthiness Directives: De Havilland Aircraft of Canada Limited (Type Certificate Previously Held by Bombardier, Inc.) Airplanes","2022","Transportation","14.0m"
"Airworthiness Directives; Boeing Model 767-200","2009","Transportation","208.0k"
"Airworthiness Directives; Boeing Model 737-100","2005","Transportation","110.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2023","Transportation","113.0k"
"Airworthiness Directives; Honeywell International ","2010","Transportation","7.9m"
"Airworthiness Directives; Empresa Brasileira","2010","Transportation","2.1m"
"Airworthiness Directives; Boeing Model","2008","Transportation","90.1m"
"Airworthiness Directives; The Boeing Company Airplanes","2012","Transportation","21.2m"
"Airworthiness Directives; Airbus Model A300 Series Airplanes","2011","Transportation","145.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2020","Transportation","132.0k"
"Airworthiness Directives; Honeywell International Inc. Turboprop Engines","2015","Transportation","525.0k"
"Airworthiness Directives; Airbus Helicopters","2016","Transportation","106.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2013","Transportation","17.1m"
"Airworthiness Directives; Gulfstream Aerospace Corporation Airplanes","2021","Transportation","1.3m"
"Airworthiness Directives; Airbus Defense and Space S.A. (Formerly Known as Construcciones Aeronauticas, S.A.) Airplanes","2024","Transportation","154.0k"
"Airworthiness Directives; Empresa Brasileira de Aeronautica S.A. (EMBRAER) Model","2007","Transportation","3.8m"
"Airworthiness Directives; Airbus Model A319-100 and A320-200","2006","Transportation","130.0k"
"Airworthiness Directives: Airbus Canada Limited Partnership (Type Certificate Previously Held by C Series Aircraft Limited Partnership (CSALP); Bombardier, Inc.) Airplanes","2022","Transportation","137.7k"
"Airworthiness Directives; Airbus Model A318","2009","Transportation","297.0k"
"Airworthiness Directives; Boeing Model 767-300","2005","Transportation","150.0k"
"Airworthiness Directives; The Boeing Company ","2010","Transportation","2.3m"
"Airworthiness Directives; Boeing Model","2008","Transportation","62.3m"
"Airworthiness Directives; Boeing Model 737-100","2008","Transportation","5.7m"
"Airworthiness Directives; Bombardier, Inc. Airplanes","2012","Transportation","280.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2012","Transportation","17.7m"
"Airworthiness Directives; Airbus Model A310 Series Airplanes","2011","Transportation","704.0k"
"Extension of Compliance Date for Entry-Level Driver Training","2020","Transportation","-478.0m"
"Airworthiness Directives; International Aero Engines AG Turbofan Engines","2015","Transportation","53.6m"
"Airworthiness Directives; Bombardier, Inc. Airplanes","2016","Transportation","4.1m"
"Airworthiness Directives; Leonardo S.p.a. Helicopters","2021","Transportation","1.7m"
"Airworthiness Directives; Boeing Model 747-100, 747-100B, 747-100B SUD","2007","Transportation","150.0k"
"Airworthiness Directives; Honeywell International Inc. ALF502L Series","2006","Transportation","7.0m"
"Airworthiness Directives: Diamond Aircraft Industries GmbH Airplanes","2022","Transportation","130.5k"
"Airworthiness Directives; 328 Support Services","2009","Transportation","159.0k"
"Airworthiness Directives; Agusta S.p.A.","2010","Transportation","911.0k"
"Airworthiness Directives; Empresa Brasileira de Aeronautica S.A.","2008","Transportation","1.3m"
"Airworthiness Directives; Bombardier, Inc. Airplanes","2012","Transportation","630.0k"
"Airworthiness Directives; Saab AB, Saab Aerosystems Airplanes","2012","Transportation","6.4m"
"Airworthiness Directives; Airbus Model A310 Series Airplanes","2011","Transportation","512.0k"
"Airworthiness Directives; Airbus SAS Airplanes","2020","Transportation","12.4m"
"Airworthiness Directives; Kaman Aerospace Corporation","2015","Transportation","495.0k"
"Airworthiness Directives; M7 Aerospace LLC","2016","Transportation","408.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2013","Transportation","2.2m"
"Airworthiness Directives; Bell Textron Canada Limited (Type Certificate Previously Held by Bell Helicopter Textron Canada Limited)","2021","Transportation","579.0k"
"Airworthiness Directives; Airbus Model A318, A319, A320, and A321 Series","2007","Transportation","370.0k"
"Airworthiness Directives; Bombardier Model CL-600-2B19","2006","Transportation","1.3m"
"Airworthiness Directives; Boeing Model 767","2009","Transportation","5.5m"
"Federal Motor Vehicle Safety Standards; Tire Pressure Monitoring Systems","2005","Transportation","1.7b"
"Passenger Equipment Safety Standards","2010","Transportation","4.1m"
"Airworthiness Directives; Airbus Model A310 Series Airplanes","2011","Transportation","499.0k"
"Airworthiness Directives; Bell Helicopter Textron Inc. Helicopters","2020","Transportation","1.2m"
"Airworthiness Directives; Kidde Graviner","2015","Transportation","850.0k"
"Airworthiness Directives; Bombardier, Inc. Airplanes","2016","Transportation","470.0k"
"Emergency Relief Program","2014","Transportation","0.0"
"Airworthiness Directives; General Electric Company Turbofan Engines","2021","Transportation","184.0k"
"Airworthiness Directives; Agusta S.p.A. Model AB139 and AW139 Helicopters","2007","Transportation","130.0k"
"Airworthiness Directives; Boeing Model Airplanes","2006","Transportation","690.0k"
"Airworthiness Directives; Hawker Beechcraft Corporation","2009","Transportation","2.0m"
"Airworthiness Directives; Airbus Model A310 Series Airplanes","2011","Transportation","362.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2020","Transportation","242.0k"
"Airworthiness Directives; Lockheed Martin","2015","Transportation","634.0k"
"Railroad Police Officers","2016","Transportation","0.0"
"Airworthiness Directives; Bombardier, Inc. Airplanes","2013","Transportation","259.0k"
"Airworthiness Directives; Various Restricted Category Helicopters","2021","Transportation","290.0k"
"Airworthiness Directives; Airbus Model A310 Series Airplanes","2007","Transportation","2.0m"
"Airworthiness Directives; Empresa Brasileira Airplanes in Operation","2006","Transportation","1.4m"
"Airworthiness Directives; Bombardier Model CL","2009","Transportation","274.0k"
"Airworthiness Directives; Aviointeriors S.p.A. Series 312 Seats","2005","Transportation","730.0k"
"Airworthiness Directives; Bell Helicopter Textron Canada","2010","Transportation","3.1m"
"Airworthiness Directives; Sikorsky Aircraft","2010","Transportation","5.2m"
"Airworthiness Directives; Rolls-Royce plc (RR) Turbofan Engines","2012","Transportation","630.0k"
"Airworthiness Directives; Airbus Model A310 Series Airplanes","2011","Transportation","185.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2020","Transportation","603.0k"
"Airworthiness Directives; Lockheed Martin Corporation","2015","Transportation","4.1m"
"Requirements for Entry-Level Commercial Motor Vehicle Operators","2016","Transportation","3.6b"
"Airworthiness Directives; Airbus Airplanes","2013","Transportation","9.3m"
"Airworthiness Directives; Pratt & Whitney Turbofan Engines","2021","Transportation","378.0k"
"Airworthiness Directives; Boeing Model 737-600, -700, -700C, -800, and -900 Series","2007","Transportation","290.0k"
"Airworthiness Directives; BAE Systems Airplanes","2006","Transportation","170.0k"
"Airworthiness Directives; Bombardier Model","2009","Transportation","1.3m"
"Airworthiness Directives; The Boeing Company","2010","Transportation","3.5m"
"Airworthiness Directives; Bombardier Model CL-600-2B19","2008","Transportation","1.5m"
"Airworthiness Directives; Boeing Model 727 Airplanes","2008","Transportation","22.2m"
"Airworthiness Directives; Rolls-Royce plc Turbofan Engines","2012","Transportation","2.2m"
"Airworthiness Directives; The Boeing Company Airplanes","2012","Transportation","190.0k"
"Airworthiness Directives; Airbus Model A310-203, -204","2011","Transportation","134.0k"
"Pipeline Safety: Safety of Underground Natural Gas Storage Facilities","2020","Transportation","-157.1m"
"Airworthiness Directives; Lycoming Engines Reciprocating Engines","2015","Transportation","828.0k"
"Commercial Driver's License Drug and Alcohol Clearinghouse","2016","Transportation","1.4b"
"Airworthiness Directives; Bell Helicopter Textron Canada","2013","Transportation","2.4m"
"Airworthiness Directives; General Electric Company Turbofan Engines","2021","Transportation","7.9m"
"Airworthiness Directives; The Boeing Company Airplanes","2024","Transportation","697.0k"
"Airworthiness Directives; Airbus Model A300 Series Airplanes and Model A300-600","2007","Transportation","160.0k"
"Airworthiness Directives; McDonnell Douglas Model Airplanes","2006","Transportation","170.0k"
"Airworthiness Directives; Gulfstream Aerospace LP (Type Certificate Previously Held by Israel Aircraft Industries, Ltd.) Airplanes","2022","Transportation","214.0k"
"Airworthiness Directives; General Electric Company","2009","Transportation","5.6m"
"Airworthiness Directives; BAE Systems (Operations)","2005","Transportation","275.0k"
"Airworthiness Directives; Airbus Equipped With Certain Northrop Grumman","2008","Transportation","565.9k"
"Airworthiness Directives; Airbus Model A318, A319, A320","2011","Transportation","785.0k"
"Risk Reduction Program","2020","Transportation","40.2m"
"Airworthiness Directives; Pratt & Whitney Canada Corp","2015","Transportation","18.1m"
"Use of Enhanced Flight Vision Systems (EFVS)","2016","Transportation","5.1m"
"Airworthiness Directives; Eurocopter France Helicopters","2013","Transportation","3.1m"
"Airworthiness Directives; Bell Textron Inc. (Type Certificate Previously Held by Bell Helicopter Textron Inc.) Helicopters","2021","Transportation","553.0k"
"Airworthiness Directives; Eurocopter France Model SA-365 N1, AS-365 N2, AS-365 N3","2007","Transportation","370.0k"
"Airworthiness Directives; Boeing Model 747 Airplanes","2006","Transportation","120.0k"
"Airworthiness Directives; MHI RJ Aviation ULC (Type Certificate Previously Held by Bombardier, Inc.) Airplanes","2022","Transportation","212.0k"
"Airworthiness Directives; Bombardier Model","2009","Transportation","121.0k"
"Airworthiness Directives; Raytheon Model DH.125","2005","Transportation","4.5m"
"Airworthiness Directives; The Boeing Company Model 747","2010","Transportation","1.5m"
"Airworthiness Directives; Boeing Model 737-600","2008","Transportation","208.8k"
"Airworthiness Directives; Airbus Model A320-214, -232","2011","Transportation","804.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2020","Transportation","2.8m"
"Airworthiness Directives; Pratt & Whitney Turbofan Engines","2015","Transportation","21.0m"
"Airworthiness Directives; International Aero Engines AG Turbofan Engines","2016","Transportation","600.0k"
"Airworthiness Directives; The Boeing Company Airplanes","2013","Transportation","323.0k"
"Airworthiness Directives: GE Aviation Czech s.r.o. (Type Certificate previously held by WALTER Engines a.s., Walter a.s., and MOTORLET a.s.) Turboprop Engines","2021","Transportation","837.6k"
"Airworthiness Directives; Dassault Model Mystere-Falcon 50, Mystere-Falcon 900","2007","Transportation","120.0k"
"Airworthiness Directives; Boeing Model 737 Airplanes","2006","Transportation","4.1m"
"Safety Glazing Standards; Codifying Existing Waivers and Adding Test Flexibility","2022","Transportation","-84.0k"
"Airworthiness Directives; Air Tractor, Inc","2009","Transportation","273.0k"
"Airworthiness Directives; Cessna Model 500","2005","Transportation","4.7m"
"Insurer Reporting Requirements; List of Insurers Required To File Reports","2010","Transportation","-55.0k"
"Airworthiness Directives; EMBRAER and -120RT Airplanes","2008","Transportation","710.0k"
"Airworthiness Directives; Boeing Model 747 Airplanes","2008","Transportation","844.8k"
"Airworthiness Directives; Aircraft Equipped With Rotax 912 A","2011","Transportation","230.0k"
"Airworthiness Directives; Textron Aviation Inc. (Type Certificate Previously Held by Cessna Aircraft Company)","2020","Transportation","2.8m"
"Airworthiness Directives; Rolls-Royce Corporation Turboprop","2015","Transportation","11.3m"
"Accessibility Guidelines for Transportation Vehicles","2016","Transportation","8.0m"
"Airworthiness Directives; Beechcraft Corporation","2014","Transportation","13.9m"
"Airworthiness Directives; Pratt & Whitney Turbofan Engines","2021","Transportation","10.8m"
"Airworthiness Directives; Airbus Model A300 Series Airplanes, Model A300-600","2007","Transportation","1.6m"
"Airworthiness Directives; Eci Reciprocating Engine Connecting Rods","2006","Transportation","290.0k"
"Airworthiness Directives; Piaggio Aviation S.p.A. (Type Certificate Previously Held by Piaggio Aero Industries S.p.A.) Airplanes","2022","Transportation","212.0k"
"Airworthiness Directives; Pratt & Whitney ","2009","Transportation","192.0k"
"Airworthiness Directives; Mooney International Corporation Airplanes","2023","Transportation","263.0k"
"Airworthiness Directives; CFM International","2010","Transportation","11.3m"
"Airworthiness Directives; Airbus Model A310 Series Airplanes","2008","Transportation","739.0k"
"Airworthiness Directives; McDonnell Douglas Model DC-10-10","2008","Transportation","6.0m"
"Airworthiness Directives; Airbus Airplanes","2012","Transportation","250.0k"
"Airworthiness Directives; Aircraft With Rotax Engines 912 A","2011","Transportation","978.0k"
"Airworthiness Directives; Pratt & Whitney Turbofan Engines","2020","Transportation","1.3m"
"Airworthiness Directives; Rolls-Royce plc Turbofan Engines","2015","Transportation","470.0k"
"Minimum Sound Requirements for Hybrid and Electric Vehicles","2016","Transportation","42.0m"
"Airworthiness Directives; General Electric Company Turbofan Engines","2014","Transportation","39.9m"
"Airworthiness Directives; Turbomeca S.A. Turboshaft Engines","2013","Transportation","19.4m"
"Airworthiness Directives; Leonardo S.p.a. Helicopters","2021","Transportation","136.3k"
"Airworthiness Directives; Leonardo S.p.a. Helicopters","2024","Transportation","109.0k"
"Airworthiness Directives; Bell Helicopter Textron Canada Limited Model 206A and","2007","Transportation","3.3m"
"Airworthiness Directives; Rolls-Royce plc RB211 Series Turbofan Engines","2006","Transportation","40.0m"
